title,year,budget,revenue,roi,success,avg_sentiment,n_reviews,genres_list
Toy Story,1995.0,30000000.0,373554033.0,12.4518011,1,,,"['Animation', 'Comedy', 'Family']"
Jumanji,1995.0,65000000.0,262797249.0,4.0430346,1,,,"['Adventure', 'Fantasy', 'Family']"
Waiting to Exhale,1995.0,16000000.0,81452156.0,5.09075975,1,,,"['Comedy', 'Drama', 'Romance']"
Heat,1995.0,60000000.0,187436818.0,3.123946966666667,1,,,"['Action', 'Crime', 'Drama', 'Thriller']"
Sudden Death,1995.0,35000000.0,64350171.0,1.8385763142857143,1,,,"['Action', 'Adventure', 'Thriller']"
GoldenEye,1995.0,58000000.0,352194034.0,6.072310931034483,1,,,"['Adventure', 'Action', 'Thriller']"
The American President,1995.0,62000000.0,107879496.0,1.739991870967742,1,,,"['Comedy', 'Drama', 'Romance']"
Nixon,1995.0,44000000.0,13681765.0,0.31094920454545455,0,,,"['History', 'Drama']"
Cutthroat Island,1995.0,98000000.0,10017322.0,0.10221757142857144,0,,,"['Action', 'Adventure']"
Casino,1995.0,52000000.0,116112375.0,2.2329302884615383,1,,,"['Drama', 'Crime']"
Sense and Sensibility,1995.0,16500000.0,135000000.0,8.181818181818182,1,,,"['Drama', 'Romance']"
Four Rooms,1995.0,4000000.0,4300000.0,1.075,1,,,"['Crime', 'Comedy']"
Ace Ventura: When Nature Calls,1995.0,30000000.0,212385533.0,7.079517766666667,1,,,"['Crime', 'Comedy', 'Adventure']"
Money Train,1995.0,60000000.0,35431113.0,0.59051855,0,,,"['Action', 'Comedy', 'Crime']"
Get Shorty,1995.0,30250000.0,115101622.0,3.805012297520661,1,,,"['Comedy', 'Thriller', 'Crime']"
Assassins,1995.0,50000000.0,30303072.0,0.60606144,0,-0.013197999999999996,50.0,"['Action', 'Adventure', 'Crime', 'Thriller']"
Leaving Las Vegas,1995.0,3600000.0,49800000.0,13.833333333333334,1,,,"['Drama', 'Romance']"
Now and Then,1995.0,12000000.0,27400000.0,2.283333333333333,1,,,"['Comedy', 'Drama', 'Family']"
The City of Lost Children,1995.0,18000000.0,1738611.0,0.0965895,0,,,"['Fantasy', 'Science Fiction', 'Adventure']"
Twelve Monkeys,1995.0,29500000.0,168840000.0,5.7233898305084745,1,,,"['Science Fiction', 'Thriller', 'Mystery']"
